brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age,mileage_per_year,is_premium,has_accident,price_per_year
RAM,1500 Laramie,2019,107714,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Diamond Black,Black,None reported,Yes,34918.0,7,13464.25,0,0,4364.75
Audi,Q5 2.0T Premium Plus,2013,111773,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,Beige,None reported,Yes,17000.0,13,7983.785714285715,1,0,1214.2857142857142
Cadillac,XTS Luxury,2019,54002,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,22500.0,7,6750.25,0,1,2812.5
Volkswagen,Jetta 1.4T SE,2016,87000,Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,At least 1 accident or damage reported,Yes,13000.0,10,7909.090909090909,0,1,1181.8181818181818
Ford,Focus RS Base,2016,49700,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,31700.0,10,4518.181818181818,0,0,2881.818181818182
Mercedes-Benz,AMG C 63 S,2017,34500,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,64600.0,9,3450.0,1,0,6460.0
Ford,Bronco Sport Big Bend,2021,31729,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Maroon,Medium Dark Slate,At least 1 accident or damage reported,Yes,29614.0,5,5288.166666666667,0,1,4935.666666666667
Jeep,Gladiator Overland,2021,7388,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,None reported,Yes,43663.0,5,1231.3333333333333,0,0,7277.166666666667
BMW,330e iPerformance,2017,41550,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,20995.0,9,4155.0,1,0,2099.5
Mercedes-Benz,GLC 300 Base 4MATIC,2018,44486,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,Black,None reported,Unknown,25625.0,8,4942.888888888889,1,0,2847.222222222222
Acura,MDX 3.7L Advance,2013,20750,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,33000.0,13,1482.142857142857,0,0,2357.1428571428573
Genesis,G70 3.3T,2022,12000,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,None reported,Yes,41000.0,4,2400.0,0,0,8200.0
Lexus,LX 570 Three-Row,2021,14206,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,98000.0,5,2367.6666666666665,1,0,16333.333333333334
Jeep,Grand Cherokee L Limited,2022,31700,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,43500.0,4,6340.0,0,0,8700.0
Hyundai,IONIQ Plug-In Hybrid SEL,2022,13044,Plug-In Hybrid,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,24999.0,4,2608.8,0,1,4999.8
Kia,Sportage LX,2009,100730,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Gold,None reported,Yes,6975.0,17,5596.111111111111,0,0,387.5
BMW,X5 PHEV xDrive45e,2023,5338,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,White,None reported,Yes,76500.0,3,1334.5,1,0,19125.0
Ford,Expedition EL XLT,2014,85149,Gasoline,5.4 Liter,Automatic,Oxford White,Camel Leather,None reported,Unknown,23598.0,12,6549.923076923077,0,0,1815.2307692307693
BMW,X6 M Base,2018,48291,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Brown,None reported,Yes,67250.0,8,5365.666666666667,1,0,7472.222222222223
Volkswagen,Eurovan MV,2001,111887,Gasoline,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,14000.0,25,4303.346153846154,0,0,538.4615384615385
Rolls-Royce,Ghost Base,2010,79000,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,69000.0,16,4647.058823529412,0,0,4058.823529411765
Lincoln,Navigator Reserve,2016,125000,Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,26500.0,10,11363.636363636364,0,0,2409.090909090909
Mercedes-Benz,GLA 250 Base 4MATIC,2022,13777,Gasoline,221.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,39777.0,4,2755.4,1,1,7955.4
RAM,1500 Big Horn,2022,14920,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Black,None reported,Yes,41741.0,4,2984.0,0,0,8348.2
Jeep,Grand Cherokee L Summit,2022,14627,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Tupelo,None reported,Unknown,56740.0,4,2925.4,0,0,11348.0
Volvo,S80 3.2,2010,90050,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,None reported,Yes,5800.0,16,5297.058823529412,0,0,341.1764705882353
Subaru,BRZ Premium,2014,45000,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,25000.0,12,3461.5384615384614,0,1,1923.076923076923
Chevrolet,Corvette Base,1998,7666,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,None reported,Yes,39500.0,28,264.3448275862069,0,0,1362.0689655172414
Hummer,H2 SUT,2006,89900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Beige,None reported,Yes,29994.0,20,4280.952380952381,0,0,1428.2857142857142
Audi,RS 7 4.0T,2021,14724,Hybrid,4.0 Liter TFSI,Automatic,Glacier White,Black/Red,None reported,Unknown,101998.0,5,2454.0,1,0,16999.666666666668
Ford,Edge Sport,2011,132000,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,10999.0,15,8250.0,0,1,687.4375
GMC,Terrain SLT,2010,32652,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Brown,None reported,Yes,6500.0,16,1920.7058823529412,0,0,382.3529411764706
Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2018,36632,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Blue,Unknown,Unknown,72567.0,8,4070.222222222222,1,1,8063.0
Jeep,Grand Cherokee WK Laredo X,2022,11164,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,37500.0,4,2232.8,0,0,7500.0
BMW,M4 Base,2020,22655,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,63999.0,6,3236.4285714285716,1,0,9142.714285714286
Mercedes-Benz,AMG GT 63 S 4-Door,2019,9500,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,135000.0,7,1187.5,1,0,16875.0
Chevrolet,Camaro 1LT,2021,10300,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,29900.0,5,1716.6666666666667,0,0,4983.333333333333
BMW,X6 M Base,2018,48000,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,54000.0,8,5333.333333333333,1,0,6000.0
Mercedes-Benz,CLK-Class 550,2007,138000,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,10000.0,19,6900.0,1,1,500.0
RAM,1500 TRX,2022,24058,Gasoline,"HEMI 6.2L V-8 intercooled supercharger, premium unleaded, engine","Automatic, 8-Spd",Flame Red Clearcoat,BLACK,None reported,Unknown,81900.0,4,4811.6,0,0,16380.0
Audi,RS 7 4.0T Prestige,2016,31500,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,67000.0,10,2863.6363636363635,1,0,6090.909090909091
Porsche,Macan S,2020,19701,Gasoline,3.0 Liter,Automatic,–,–,None reported,Unknown,55998.0,6,2814.4285714285716,1,0,7999.714285714285
Genesis,GV70 3.5T Sport,2022,10200,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,50500.0,4,2040.0,0,0,10100.0
Aston,Martin V8 Vantage Base,2008,62378,Gasoline,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,M/T,Red,Beige,At least 1 accident or damage reported,Yes,33995.0,18,3283.0526315789475,0,1,1789.2105263157894
Nissan,350Z Touring,2006,84200,Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,10200.0,20,4009.5238095238096,0,0,485.7142857142857
Toyota,Sequoia SR5,2013,138700,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,18800.0,13,9907.142857142857,0,1,1342.857142857143
Chevrolet,Tahoe Premier,2021,41050,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Gray,None reported,Yes,62900.0,5,6841.666666666667,0,0,10483.333333333334
Jeep,Compass Limited,2020,39192,Gasoline,2.4L I4 16V MPFI SOHC,9-Speed Automatic,White Clearcoat,Black,None reported,Unknown,24590.0,6,5598.857142857143,0,0,3512.8571428571427
BMW,430 430i,2022,7758,Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,Unknown,47998.0,4,1551.6,1,0,9599.6
Ford,Bronco Sport Outer Banks,2021,31654,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Rapid Red Metallic Tinted Clearcoat,Navy Pier,None reported,Unknown,33410.0,5,5275.666666666667,0,0,5568.333333333333
Mercedes-Benz,AMG C 63 Base,2017,63000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,42000.0,9,6300.0,1,1,4200.0
Volvo,S40 T5,2005,257700,Gasoline,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,3550.0,21,11713.636363636364,0,0,161.36363636363637
Mercedes-Benz,GLE 350 Base 4MATIC,2017,57000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,29500.0,9,5700.0,1,1,2950.0
Chevrolet,Silverado 1500 1LT,2017,89000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,29999.0,9,8900.0,0,0,2999.9
Chevrolet,Tahoe LTZ,2015,134500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,28000.0,11,11208.333333333334,0,0,2333.3333333333335
Acura,MDX Technology,2022,15895,Gasoline,3.5L V6 24V GDI SOHC,10-Speed Automatic,Majestic Black Pearl,Parchment,None reported,Unknown,47950.0,4,3179.0,0,0,9590.0
Bentley,Bentayga Speed,2020,15109,Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic,Ice,Beluga Hide,Unknown,Unknown,162950.0,6,2158.4285714285716,0,1,23278.571428571428
Rolls-Royce,Cullinan,2022,398,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Silver,Charles Blue,None reported,Yes,695000.0,4,79.6,0,0,139000.0
Genesis,GV70 2.5T,2022,20319,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,44249.0,4,4063.8,0,0,8849.8
Pontiac,Firebird Base,1999,158000,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,2500.0,27,5642.857142857143,0,1,89.28571428571429
Lexus,GX 460 Base,2021,40906,Gasoline,4.6 Liter,Automatic,Black,Black,None reported,Unknown,51998.0,5,6817.666666666667,1,0,8666.333333333334
BMW,ALPINA B7 ALPINA B7 xDrive,2020,33749,Gasoline,4.4 Liter Twin Turbo,Automatic,Blue,Red,None reported,Unknown,85998.0,6,4821.285714285715,1,0,12285.42857142857
BMW,M4 Competition xDrive,2023,1120,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,White,None reported,Yes,92900.0,3,280.0,1,0,23225.0
Jeep,Grand Cherokee L Limited,2021,26088,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Silver Zynith,Global Black,None reported,Unknown,38383.0,5,4348.0,0,0,6397.166666666667
Kia,Forte GT-Line,2022,14950,Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,24000.0,4,2990.0,0,1,4800.0
Kia,Forte LX,2018,47466,Gasoline,"2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,Silky Silver,Black,None reported,Unknown,14699.0,8,5274.0,0,0,1633.2222222222222
BMW,X6 M Base,2022,10376,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Ametrin Metallic,Black,None reported,Unknown,98900.0,4,2075.2,1,0,19780.0
RAM,ProMaster 3500 High Roof,2021,18500,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,41950.0,5,3083.3333333333335,0,0,6991.666666666667
Volkswagen,Atlas Cross Sport 3.6L V6 SEL Premium,2021,24596,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Deep Black Pearl Effect,Titan Black / Quarzit,None reported,Unknown,38322.0,5,4099.333333333333,0,0,6387.0
Hyundai,Santa Fe SEL,2021,2905,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Shimmering Silver,Black,None reported,Unknown,27599.0,5,484.1666666666667,0,0,4599.833333333333
Jaguar,XF 3.0 Portfolio,2015,71290,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,At least 1 accident or damage reported,Yes,21000.0,11,5940.833333333333,1,1,1750.0
Audi,A7 55 Premium Plus,2022,15000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,None reported,Yes,63000.0,4,3000.0,1,0,12600.0
INFINITI,QX30 Premium,2017,37900,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,22000.0,9,3790.0,0,0,2200.0
Mercedes-Benz,AMG G 63 4MATIC,2022,2000,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,Unknown,Unknown,244896.0,4,400.0,1,1,48979.2
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,32500,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,43500.0,7,4062.5,1,0,5437.5
Mitsubishi,Lancer Evolution Base,2003,61491,Gasoline,271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,28000.0,23,2562.125,0,1,1166.6666666666667
Jeep,Wrangler Unlimited Sport,2013,77634,Gasoline,3.6L V6 24V MPFI DOHC,5-Speed Automatic,Gecko Pearlcoat,Black,None reported,Unknown,24590.0,13,5545.285714285715,0,0,1756.4285714285713
Audi,A3 2.0 TDI Premium Plus,2015,83000,Diesel,150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18999.0,11,6916.666666666667,1,1,1583.25
Volkswagen,Jetta GLX VR6,2002,121800,Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,4300.0,24,4872.0,0,0,172.0
BMW,ALPINA B7 ALPINA B7 xDrive,2020,65852,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Mocha,None reported,Unknown,68998.0,6,9407.42857142857,1,0,9856.857142857143
Bentley,Bentayga Azure First Edition,2023,1335,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Onyx,Portland,None reported,Yes,272950.0,3,333.75,0,0,68237.5
Mercedes-Benz,CLA-Class CLA 250,2014,83315,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,15000.0,12,6408.846153846154,1,0,1153.8461538461538
BMW,i8 Base,2019,18421,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,6-Speed A/T,Black,Black,Unknown,Unknown,85000.0,7,2302.625,1,1,10625.0
Lexus,CT 200h Premium,2015,101000,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,At least 1 accident or damage reported,Yes,16500.0,11,8416.666666666666,1,1,1375.0
Toyota,Tundra SR5,2022,29322,Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,Unknown,44999.0,4,5864.4,0,0,8999.8
Mercedes-Benz,SLC 300 Base,2019,23900,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,35999.0,7,2987.5,1,0,4499.875
Mercedes-Benz,AMG C AMG C 63 S,2016,40515,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic,Black,Black,At least 1 accident or damage reported,Unknown,47999.0,10,3683.181818181818,1,1,4363.545454545455
Ford,F-150 XLT,2020,67516,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Medium Light Camel,None reported,Yes,36994.0,6,9645.142857142857,0,0,5284.857142857143
Mazda,CX-9 Grand Touring,2010,155000,Gasoline,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,8300.0,16,9117.64705882353,0,0,488.2352941176471
Honda,Ridgeline RTL-E,2019,26998,Gasoline,3.5L V6 24V GDI SOHC,6-Speed Automatic,Black,Black,None reported,Unknown,35557.0,7,3374.75,0,0,4444.625
Bentley,Bentayga Onyx Edition,2018,18500,Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,115000.0,8,2055.5555555555557,0,0,12777.777777777777
MINI,Cooper S Clubman Base,2009,137600,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gold,Black,None reported,Yes,6880.0,17,7644.444444444444,0,0,382.22222222222223
Nissan,Murano SL,2005,125500,Gasoline,245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Beige,None reported,Yes,3950.0,21,5704.545454545455,0,0,179.54545454545453
Bentley,Bentayga V8,2019,22039,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,113990.0,7,2754.875,0,0,14248.75
Nissan,Juke SV,2011,137483,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Gray,None reported,Yes,3200.0,15,8592.6875,0,0,200.0
Ford,Expedition Max Limited,2019,67500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,40500.0,7,8437.5,0,0,5062.5
Ford,Expedition Max King Ranch,2020,52000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,53722.0,6,7428.571428571428,0,1,7674.571428571428
Lamborghini,Murcielago Base,2006,10000,Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,259000.0,20,476.1904761904762,0,0,12333.333333333334
Chevrolet,Suburban LT,2017,195361,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Black,Black,At least 1 accident or damage reported,Yes,26000.0,9,19536.1,0,1,2600.0
Bentley,Bentayga Onyx Edition,2018,32500,Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,103000.0,8,3611.1111111111113,0,1,11444.444444444445
BMW,M760 i xDrive,2019,14806,Gasoline,601.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,81330.0,7,1850.75,1,1,10166.25
Genesis,GV70 2.5T,2022,11000,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,48950.0,4,2200.0,0,1,9790.0
Chevrolet,Tahoe LT,2011,92530,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,Yes,18500.0,15,5783.125,0,1,1156.25
Dodge,Durango GT,2017,34845,Gasoline,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,30000.0,9,3484.5,0,1,3000.0
Porsche,718 Cayman GTS,2018,16280,Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,85500.0,8,1808.888888888889,1,0,9500.0
Porsche,Cayman Base,2011,77000,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,32000.0,15,4812.5,1,0,2000.0
Porsche,Panamera Turbo,2010,63000,Gasoline,500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,38500.0,16,3705.8823529411766,1,1,2264.705882352941
Lexus,ES 350 Base,2016,39700,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,25500.0,10,3609.090909090909,1,0,2318.181818181818
Kia,Optima Hybrid LX,2013,103111,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,9200.0,13,7365.071428571428,0,1,657.1428571428571
Land,Rover Range Rover Velar R-Dynamic SE,2019,75897,Gasoline,2.0 Liter,Automatic,Black,Black,None reported,Unknown,35998.0,7,9487.125,1,0,4499.75
Jaguar,XF S,2017,55000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,34000.0,9,5500.0,1,0,3400.0
Lexus,GX 470 Base,2005,114000,Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,13450.0,21,5181.818181818182,1,1,611.3636363636364
Mercedes-Benz,GL-Class GL 550,2011,80124,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,17500.0,15,5007.75,1,0,1093.75
BMW,X6 M Base,2023,7000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,144900.0,3,1750.0,1,0,36225.0
RAM,1500 Longhorn,2023,4285,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Delmonico Red Pearlcoat,Black / Saddle,None reported,Yes,65688.0,3,1071.25,0,0,16422.0
Lamborghini,Huracan LP580-2S,2019,17175,Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Rosso Mars Metallic,Nero Ade,None reported,Unknown,234900.0,7,2146.875,0,0,29362.5
Toyota,Highlander Hybrid Limited Platinum,2017,34049,Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Shoreline Blue Pearl,Ash,None reported,Unknown,37999.0,9,3404.9,0,0,3799.9
Audi,e-tron Prestige,2019,16000,Gasoline,355.0HP Electric Motor Electric Fuel System,A/T,White,Beige,At least 1 accident or damage reported,Yes,39990.0,7,2000.0,1,1,4998.75
GMC,Suburban 2500,1996,95000,Gasoline,290.0HP 7.4L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,None reported,Yes,25000.0,30,3064.516129032258,0,0,806.4516129032259
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,59355,Gasoline,V8,Automatic,Santorini Black,Ebony / Pimento,None reported,Yes,72995.0,6,8479.285714285714,1,0,10427.857142857143
Chevrolet,Bolt EUV Premier,2022,31000,Gasoline,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,White,None reported,Yes,36000.0,4,6200.0,0,0,7200.0
BMW,M240 i,2019,19300,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,36000.0,7,2412.5,1,0,4500.0
Cadillac,Escalade EXT Base,2009,155000,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,16900.0,17,8611.111111111111,0,1,938.8888888888889
Scion,tC Release Series 6.0,2010,120010,Gasoline,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,6500.0,16,7059.411764705882,0,1,382.3529411764706
Kia,Optima EX,2012,152520,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,10900.0,14,10168.0,0,0,726.6666666666666
Honda,Civic EX,1993,58981,–,–,A/T,White,Beige,None reported,Yes,9599.0,33,1734.735294117647,0,0,282.3235294117647
Maserati,Quattroporte Base,2005,32000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,At least 1 accident or damage reported,Yes,2954083.0,21,1454.5454545454545,0,1,134276.5
Porsche,Panamera Turbo,2015,47000,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,50000.0,11,3916.6666666666665,1,0,4166.666666666667
Genesis,G70 2.0T,2023,2046,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,None reported,Yes,43499.0,3,511.5,0,0,10874.75
Chevrolet,Trailblazer LS,2021,24965,Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,Yes,22995.0,5,4160.833333333333,0,1,3832.5
